V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29
-2.312226542299999910e+00,1.951992010599999938e+00,-1.609850732299999976e+00,3.997905587500000024e+00,-5.221878647000000040e-01,-1.426545319199999939e+00,-2.537387306199999859e+00,1.391657248300000038e+00,-2.770089277200000311e+00,-2.772272144700000496e+00,3.202033207099999945e+00,-2.899907388500000405e+00,-5.952218812999999775e-01,-4.289253782400000325e+00,3.897241203000000320e-01,-1.140747179799999955e+00,-2.830055674500000062e+00,-1.682246819999999934e-02,4.169557050000000098e-01,1.269105591000000144e-01,5.172323709000000713e-01,-3.504936859999999849e-02,-4.652110761999999622e-01,3.201981985000000308e-01,4.451916749999999812e-02,1.778397982999999904e-01,2.611450026000000091e-01,-1.432758746999999999e-01,-3.532293929668235410e-01
-3.043540623999999806e+00,-3.157307120899999653e+00,1.088462779999999963e+00,2.288643618400000079e+00,1.359805129700000004e+00,-1.064822522999999910e+00,3.255742662000000176e-01,-6.779365319999999806e-02,-2.709528361999999913e-01,-8.385865645999999174e-01,-4.145754482999999824e-01,-5.031408595999999900e-01,6.765015445999998933e-01,-1.692028933100000021e+00,2.000634839099999951e+00,6.667796959000000800e-01,5.997174137999999877e-01,1.725321007500000059e+00,2.833448301000000003e-01,2.102338792599999895e+00,6.616959247999999461e-01,4.354772089999999762e-01,1.375965742500000033e+00,-2.938031527000000143e-01,2.797980318000000133e-01,-1.453617148000000137e-01,-2.527731225000000026e-01,3.576422519999999938e-02,1.761758203626355046e+00
-2.303349567599999759e+00,1.759247460300000121e+00,-3.597447433000000028e-01,2.330243050500000024e+00,-8.216283283999999965e-01,-7.578757059999999268e-02,5.623197823000000151e-01,-3.991465785000000155e-01,-2.382533676999999961e-01,-1.525411626599999959e+00,2.032912157599999770e+00,-6.560124295099999614e+00,2.293732350000000225e-02,-1.470101536100000050e+00,-6.988260685999999611e-01,-2.282193828600000085e+00,-4.781830856000000018e+00,-2.615664944799999780e+00,-1.334441066699999956e+00,-4.300218671999999631e-01,-2.941663176000000046e-01,-9.323910573000000479e-01,1.727262957999999848e-01,-8.732953800000001210e-02,-1.561142647000000050e-01,-5.426278890000000299e-01,3.956598890000000146e-02,-1.530287965000000083e-01,6.060314275447101773e-01
-4.397974441699999737e+00,1.358367028400000009e+00,-2.592844218300000225e+00,2.679786966900000067e+00,-1.128130942099999867e+00,-1.706536387700000157e+00,-3.496197293000000261e+00,-2.487777429999999956e-01,-2.477678994999999995e-01,-4.801637406000000219e+00,4.895844223500000147e+00,-1.091281931940000050e+01,1.843716857999999903e-01,-6.771096724700000458e+00,-7.326182599999999864e-03,-7.358083221300000254e+00,-1.259841854059999910e+01,-5.131548628400000034e+00,3.083339458000000088e-01,-1.716078785999999856e-01,5.735740684000000256e-01,1.769677179999999961e-01,-4.362068835999999838e-01,-5.350186490000000128e-02,2.524052620000000191e-01,-6.574877547999999905e-01,-8.271357145999999050e-01,8.495733800000000446e-01,-1.173423075244841712e-01
1.234235046100000011e+00,3.019740420699999817e+00,-4.304596884800000467e+00,4.732795130400000438e+00,3.624200830599999978e+00,-1.357745663200000008e+00,1.713444987899999994e+00,-4.963584871000000232e-01,-1.282857820400000071e+00,-2.447469255099999685e+00,2.101343865000000033e+00,-4.609628390600000181e+00,1.464377624800000000e+00,-6.079337193099999759e+00,-3.392373727000000394e-01,2.581850953800000070e+00,6.739384384800000127e+00,3.042493178299999990e+00,-2.721853122200000197e+00,9.060836399999999333e-03,-3.790683071000000015e-01,-7.041810321999999456e-01,-6.568047563000000144e-01,-1.632652956899999896e+00,1.488901448400000049e+00,5.667972734999999762e-01,-1.001622349999999918e-02,1.467927348999999992e-01,-3.492313067728856080e-01
8.430364899999999093e-03,4.137836834999999880e+00,-6.240696571900000933e+00,6.675732163099999283e+00,7.683070245999998882e-01,-3.353059547900000048e+00,-1.631734672700000166e+00,1.546124482000000022e-01,-2.795892464500000063e+00,-6.187890629700000034e+00,5.664394708599999717e+00,-9.854484822899999941e+00,-3.061666583000000053e-01,-1.069119621179999946e+01,-6.384981927000000779e-01,-2.041973791100000213e+00,-1.129055877000000097e+00,1.164525211999999921e-01,-1.934665738899999932e+00,4.883782211000000095e-01,3.645142097999999886e-01,-6.080571338000000381e-01,-5.395279417999999660e-01,1.289399830000000080e-01,1.488481210100000007e+00,5.079626778000000398e-01,7.358216360999999539e-01,5.135737406999999477e-01,-3.492313067728856080e-01
2.677922640000000160e-02,4.132463897100000061e+00,-6.560599968099999124e+00,6.348556673099999159e+00,1.329665669000000161e+00,-2.513478847600000066e+00,-1.689102200300000023e+00,3.032528005000000304e-01,-3.139409057399999980e+00,-6.045467797799999765e+00,6.754625448099999652e+00,-8.948178578900000346e+00,7.027249980999999979e-01,-1.073385410320000055e+01,-1.379519856799999999e+00,-1.638960114900000153e+00,-1.746350136300000022e+00,7.767440979000000967e-01,-1.327356635499999937e+00,5.877432190000000389e-01,3.705086515000000080e-01,-5.767524732000000043e-01,-6.696053718000000154e-01,-7.599075295000000674e-01,1.605055550200000125e+00,5.406753963999999524e-01,7.370403816999999691e-01,4.966991082000000168e-01,-3.492313067728856080e-01
3.295943332999999864e-01,3.712889295199999662e+00,-5.775935108300000564e+00,6.078265505599999230e+00,1.667359013100000009e+00,-2.420168413499999893e+00,-8.128912495000000238e-01,1.330801179999999972e-01,-2.214311311999999976e+00,-5.134454471099999751e+00,4.560720105499999733e+00,-8.873748361599998802e+00,-7.974835995999999261e-01,-9.177166370100000137e+00,-2.570247750999999914e-01,-8.716884904999999684e-01,1.313013629099999857e+00,7.739138726000001078e-01,-2.370599450599999880e+00,2.697727759999999919e-01,1.566171694000000059e-01,-6.524504409000000393e-01,-5.515722194000000078e-01,-7.165216354000000232e-01,1.415716615099999798e+00,5.552647398000000178e-01,5.305073889000000431e-01,4.044740545000000131e-01,-3.492313067728856080e-01
3.164590003999999679e-01,3.809075946700000159e+00,-5.615159011200000272e+00,6.047445102200000200e+00,1.554025956899999894e+00,-2.651353111999999790e+00,-7.465792731000000515e-01,5.558631129999999643e-02,-2.678678542200000123e+00,-4.959492911599999942e+00,6.439053351599999253e+00,-7.520117392899999587e+00,3.863516674000000428e-01,-9.252307247499999221e+00,-1.365188414999999988e+00,-5.023621905999999804e-01,7.844265981999999360e-01,1.494304607400000151e+00,-1.808012158699999983e+00,3.883074282000000266e-01,2.088283689999999859e-01,-5.117466191999999747e-01,-5.838132207999999768e-01,-2.198450291000000056e-01,1.474752584400000011e+00,4.911919256999999761e-01,5.188682846000000071e-01,4.025280677000000473e-01,-3.492313067728856080e-01
7.256457398000000225e-01,2.300894437799999803e+00,-5.329976183000000312e+00,4.007682804699999934e+00,-1.730410590299999996e+00,-1.732192568199999894e+00,-3.968592618100000191e+00,1.063728153400000043e+00,-4.860965522999999844e-01,-4.624984954100000323e+00,5.588723914700000073e+00,-7.148242636400000016e+00,1.680450741000000026e+00,-6.210257746599999962e+00,4.952821178000000324e-01,-3.599540209200000174e+00,-4.830324242099999665e+00,-6.490901202000000092e-01,2.250123248800000031e+00,5.046462260999999838e-01,5.896691272999999844e-01,1.095413192000000008e-01,6.010452764999999475e-01,-3.647002782000000054e-01,-1.843077692200000062e+00,3.519092984000000146e-01,5.945499780999999873e-01,9.937223600000000268e-02,-3.492313067728856080e-01
