V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29
1.283151238499999902e+00,-1.382937731499999989e+00,5.733036232999999537e-01,-1.305554565900000075e+00,-1.689081549099999968e+00,-4.313628847000000044e-01,-1.089438022800000017e+00,-1.494286059999999985e-02,-1.632302012599999852e+00,1.351330012700000083e+00,-3.421888077999999944e-01,-1.181988368799999911e+00,-2.778175985000000403e-01,-1.716684176000000117e-01,1.106351199799999963e+00,-4.312000757000000184e-01,7.523380174999999559e-01,-4.155355543999999512e-01,-6.212999982999999338e-01,-2.219256951999999949e-01,-2.955067804000000020e-01,-7.102432482999999630e-01,1.389004603999999810e-01,1.108290760000000055e-02,-1.843076000000000133e-03,-3.876751527000000253e-01,3.708178589999999719e-02,4.057455430000000279e-02,6.257157120272383022e-02
1.048445949800000054e+00,2.363272680000000001e-02,3.123664509999999894e-01,1.252568257900000148e+00,-3.039842937000000189e-01,-4.329837897999999630e-01,1.140396702999999928e-01,-2.277898999999999896e-03,1.259118659000000029e-01,3.296126599999999688e-03,-3.571267958000000076e-01,-3.564947975999999685e-01,-1.266770068900000101e+00,6.605699049000000045e-01,1.294270036299999926e+00,-5.174063259999999581e-02,-9.698088829999999827e-02,-6.186732396999999883e-01,-7.036089444999999998e-01,-1.118405164000000063e-01,-1.198661540999999969e-01,-5.291901776999999862e-01,3.063814049999999747e-02,1.748553369999999996e-02,3.238460663000000128e-01,-5.101904470000000469e-01,1.209496489999999959e-02,3.264007529999999463e-02,-5.017445946632653753e-02
1.057192755999999845e+00,-6.478322259999999555e-02,2.219461876999999916e-01,1.247935008100000021e+00,-6.474461549999999121e-02,3.176309398999999645e-01,-4.655018009999999790e-02,1.943303346999999959e-01,1.946568382000000152e-01,5.217962150000000215e-02,7.058041223000000031e-01,5.997631911999999899e-01,-1.115560309499999958e+00,4.451608836000000013e-01,-6.597910321000000078e-01,-3.805602157999999902e-01,-4.926878400000000296e-02,-2.491022951000000096e-01,3.715549989999999969e-02,-1.393996959000000091e-01,-5.539158179999999904e-02,-1.058975606000000097e-01,-1.435751754000000047e-01,-3.242614885999999808e-01,6.273130260999999486e-01,-3.108927987000000281e-01,2.092350050000000086e-02,8.166209599999999999e-03,-1.399714753821729996e-01
2.267679237399999881e+00,-1.219843371599999893e+00,-1.723301281699999965e+00,-1.730080806599999965e+00,-5.404663428000000547e-01,-7.999978924999999741e-01,-5.018561787999999968e-01,-3.837319182000000217e-01,-1.816172645700000032e+00,1.618498687500000033e+00,-9.153311087000000068e-01,-7.083573718999999214e-01,9.824657562999999927e-01,-1.023560082999999954e-01,1.518832395999999973e-01,-6.085000728999999664e-01,3.522354365999999515e-01,-4.290790704999999927e-01,-5.415201199999999937e-02,-2.788890351999999684e-01,-2.961237321999999894e-01,-5.567615190999999353e-01,2.496396556999999905e-01,3.831457513000000037e-01,-1.334684688999999980e-01,-3.313994660999999842e-01,-3.092544959999999829e-02,-4.410210929999999752e-02,-9.335379036085644788e-02
-5.628711227999999567e-01,9.846653169000000316e-01,-1.915559655999999888e+00,-3.043655766000000207e-01,4.778723915999999461e-01,-9.060020737999999740e-01,2.614721924999999780e-01,7.792887036000000212e-01,-2.678653516000000234e-01,-1.252518809099999908e+00,6.471502319999999919e-01,4.144609652000000311e-01,-1.217575731599999989e+00,9.030327820000000338e-02,-8.798301479000000258e-01,4.143740767000000380e-01,7.084080144000000079e-01,6.733095362000000028e-01,-1.043179381000000072e-01,-5.151859435000000209e-01,4.165155190000000007e-02,-1.385521504999999987e-01,3.739834167000000154e-01,5.502703063999999644e-01,-6.090172683000000253e-01,-6.340157920000000225e-01,-2.650041404999999850e-01,-2.185066867999999884e-01,-2.866612578377566445e-01
-1.334765407199999920e+00,-5.895095678999999755e-01,1.721133075800000078e+00,-1.413175291399999756e+00,-2.370967878300000109e+00,1.068630286999999957e+00,2.966681041100000193e+00,-1.152462469200000061e+00,-5.334794976000000188e-01,3.512268340999999405e-01,-1.479431291999999953e-01,-4.968064617999999877e-01,-9.172758689999999104e-02,-1.193064480799999938e+00,-2.952543107999999750e-01,-1.893566352799999963e+00,9.629058840000000175e-02,-8.250731290000000440e-02,-1.253383435299999960e+00,-9.214729451000001070e-01,-9.444488434999999127e-01,-1.050764417899999970e+00,-2.597557930000000126e-01,4.711641820000000425e-01,-1.282873427000000011e-01,6.567296223999999905e-01,-4.686119756000000081e-01,-7.277468340000000646e-01,1.846917439557233198e+00
2.091685355300000104e+00,2.357179939999999932e-02,-2.579143267000000073e+00,-9.378823970000001176e-02,8.918809204000001101e-01,-1.147779640200000006e+00,8.222024658000000041e-01,-3.952323603000000296e-01,-2.566870220000000077e-02,2.046607287000000164e-01,8.596674405999999991e-01,4.582992372999999398e-01,-1.161916326800000121e+00,1.238950743199999982e+00,-6.147074738000000149e-01,-8.224540323999999236e-01,-2.142592730999999806e-01,-6.621226789999999640e-02,4.227175374000000097e-01,-2.639106981000000074e-01,3.281189570999999972e-01,1.040879710400000047e+00,-1.681408189000000164e-01,7.790870929000001111e-01,6.923277444000000003e-01,4.123321656000000224e-01,-1.153690648000000041e-01,-9.430991220000001229e-02,-3.036131433000535673e-01
1.631845078600000054e+00,-6.467210860000000006e-01,-1.440600638600000094e+00,1.042939757000000078e+00,4.948786297999999695e-01,7.222378729999999747e-01,7.951436779999999926e-02,4.328565099999999444e-02,3.078286204999999831e-01,2.500583094000000117e-01,-2.249703799999999872e-03,1.120923166400000115e+00,9.644402825000000234e-01,1.797954126000000097e-01,-4.357184272999999886e-01,4.766017920000000241e-01,-1.161270689400000000e+00,5.344559053999999865e-01,1.301758878999999813e-01,2.570889762999999939e-01,1.071660460999999953e-01,5.436995899999999896e-03,-9.757923439999999227e-02,-3.584594707999999574e-01,5.406775490000000073e-02,-7.069873103000000603e-01,-7.756145999999999353e-03,-1.639686250000000137e-02,4.663782767904573467e-01
1.044527727199999978e+00,-2.318501769999999906e-01,1.331162141800000143e+00,1.240425459799999963e+00,-9.571657939000000059e-01,4.486966225999999835e-01,-8.216925209999998980e-01,4.382080996999999645e-01,8.144791039000000010e-01,-4.010487299999999922e-02,1.085594498899999927e+00,6.184458657000000414e-01,-1.431119946899999995e+00,1.419813035999999973e-01,-1.391798164999999976e-01,-1.470722580000000113e-02,-7.076066749999999905e-02,8.096260809999999974e-02,-3.490506354999999838e-01,-2.387840978999999919e-01,1.722112010000000082e-02,1.804874174999999970e-01,5.069473009999999474e-02,1.985369423999999716e-01,2.387675278000000179e-01,-4.055462499000000443e-01,7.605669349999999440e-02,2.459508180000000155e-02,-3.012942533075695373e-01
-1.609375363100000067e+00,1.443699037700000076e+00,2.168926498000000036e-01,1.072003902399999875e+00,2.466851930500000289e+00,4.251108859200000367e+00,4.277500809999999765e-02,4.256072827000000336e-01,-3.887793156000000083e-01,2.075710443700000241e+00,-2.342978963000000026e-01,-7.445968731999998980e-01,1.012038017999999928e-01,-4.548314784000000444e-01,1.290700177299999973e+00,4.734240503000000100e-01,-1.069089454700000053e+00,5.368645353000000009e-01,4.333762435999999885e-01,1.573027769999999978e-02,1.038039223999999983e-01,1.510778127999999887e-01,-5.403244309999999384e-02,9.881441895999999447e-01,-4.198527405999999962e-01,-1.357122798000000019e-01,-1.863776912299999866e+00,-4.448600657999999819e-01,-3.242432680607733597e-01
