V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29
-1.088308525085449219e+01,-1.124936485290527344e+01,-4.450083673000335693e-01,4.164279937744140625e+00,1.974838614463806152e+00,-6.052204370498657227e-01,-8.250296115875244141e-01,1.433694362640380859e+00,1.516832709312438965e-01,-1.407568097114562988e+00,1.156610995531082153e-01,2.993913590908050537e-01,-4.353339672088623047e-01,8.484179377555847168e-01,2.788332939147949219e+00,-3.661189377307891846e-01,1.434582352638244629e+00,-1.133405566215515137e+00,-7.640687823295593262e-01,-4.820414483547210693e-01,-1.624295301735401154e-02,7.123501896858215332e-01,4.578722953796386719e+00,-5.877144336700439453e-01,9.177132248878479004e-01,-1.596923172473907471e-02,1.826039195060729980e+00,-3.916662216186523438e+00,1.622838377952575684e-01
-3.568170547485351562e+00,-3.186165094375610352e+00,2.089997053146362305e+00,1.494017362594604492e+00,1.133518934249877930e+00,-1.447115898132324219e+00,-2.511929750442504883e+00,9.608083963394165039e-01,-1.415583014488220215e+00,6.665349006652832031e-01,6.646535992622375488e-01,1.019820928573608398e+00,9.636597037315368652e-01,1.904800534248352051e-01,2.052566260099411011e-01,-1.400692939758300781e+00,2.235272377729415894e-01,2.257877349853515625e+00,2.246331572532653809e-01,8.712311983108520508e-01,6.379671394824981689e-02,-5.694906711578369141e-01,-1.218686327338218689e-01,3.260110020637512207e-01,9.649293124675750732e-02,-2.526887357234954834e-01,3.358879685401916504e-01,-4.793968796730041504e-01,-2.412829846143722534e-01
-3.735007286071777344e+00,-2.888496398925781250e+00,1.289847612380981445e+00,1.066941976547241211e+00,2.752378463745117188e+00,-1.284967184066772461e+00,6.078345775604248047e-01,-2.251126766204833984e+00,7.518914341926574707e-01,1.652577400207519531e+00,1.806359410285949707e+00,1.578350178897380829e-02,8.531465381383895874e-02,-1.525259733200073242e+00,1.105098843574523926e+00,3.146775364875793457e-01,-7.957290410995483398e-01,3.310679793357849121e-01,1.532205700874328613e+00,-2.222473144531250000e+00,-4.561653435230255127e-01,-1.797355562448501587e-01,1.883692741394042969e+00,1.298956852406263351e-02,-2.187977582216262817e-01,9.110359102487564087e-02,-2.273745834827423096e-01,-1.058033227920532227e+00,-3.453131914138793945e-01
-1.173264980316162109e+01,-5.571657657623291016e+00,-6.692964553833007812e+00,1.753141522407531738e+00,5.836798548698425293e-01,1.106816530227661133e+00,5.398593425750732422e+00,-3.356352329254150391e+00,5.031461238861083984e+00,5.193795204162597656e+00,3.527238607406616211e+00,-5.562521219253540039e-01,1.829185485839843750e-01,-6.066479206085205078e+00,2.758091449737548828e+00,5.854565501213073730e-01,1.252735376358032227e+00,-3.548897206783294678e-01,5.860678553581237793e-01,-8.171635627746582031e+00,-3.518914461135864258e+00,1.284303069114685059e+00,1.465411424636840820e+00,-1.591630578041076660e+00,1.066890954971313477e+00,-4.818698763847351074e-01,-3.237294673919677734e+00,5.665832996368408203e+00,1.699627995491027832e+00
-3.227630615234375000e+00,-2.144997596740722656e+00,8.597625046968460083e-02,8.619834780693054199e-01,5.215603828430175781e+00,-2.991983652114868164e+00,-6.976435780525207520e-01,1.070101708173751831e-01,-6.204516887664794922e-01,-1.190770387649536133e+00,-1.139581799507141113e+00,-3.834142982959747314e-01,-4.845669865608215332e-01,-9.677163362503051758e-01,-7.893522977828979492e-01,6.036681588739156723e-03,7.045342326164245605e-01,4.378837645053863525e-01,-7.585526704788208008e-01,7.987537980079650879e-01,2.265027463436126709e-01,-3.831525743007659912e-01,2.696169773116707802e-03,3.286689519882202148e-01,1.559236288070678711e+00,-4.682178795337677002e-01,-1.261248439550399780e-01,1.422842144966125488e-01,-3.318796157836914062e-01
-6.096454143524169922e+00,-6.185072898864746094e+00,6.815147399902343750e-01,2.404273271560668945e+00,3.848683118820190430e+00,-3.284216880798339844e+00,-2.603696107864379883e+00,6.087977290153503418e-01,1.094037592411041260e-01,-3.536480069160461426e-01,-1.349678993225097656e+00,3.588203489780426025e-01,1.108959987759590149e-01,4.777678847312927246e-01,4.675289988517761230e-01,-2.406699061393737793e-01,4.009208977222442627e-01,-1.240668445825576782e-01,1.287418127059936523e+00,1.038550734519958496e+00,1.300259083509445190e-01,-1.072545170783996582e+00,-7.083721160888671875e-01,2.321622706949710846e-02,2.664545178413391113e-01,3.628791868686676025e-01,-2.351579070091247559e-01,-2.156496942043304443e-01,-1.766339242458343506e-01
-2.864896059036254883e+00,-4.177844226360321045e-01,-2.899953603744506836e+00,5.159137248992919922e+00,7.411076545715332031e+00,-2.124029874801635742e+00,-6.594346165657043457e-01,5.179451704025268555e-01,-2.642872571945190430e+00,-2.142086267471313477e+00,2.098145484924316406e+00,-1.838320732116699219e+00,-5.542715191841125488e-01,-7.340042591094970703e+00,1.593533873558044434e+00,1.354878544807434082e+00,7.293107986450195312e+00,1.532844662666320801e+00,-3.191933870315551758e+00,9.633685946464538574e-01,1.880403608083724976e-01,-3.132839798927307129e-01,3.121590018272399902e-01,-2.178170680999755859e+00,-8.924163132905960083e-02,4.120563864707946777e-01,1.460577249526977539e-01,3.958716690540313721e-01,-3.501508533954620361e-01
-4.044621467590332031e+00,-6.496110558509826660e-01,-9.011012315750122070e-01,1.383783102035522461e+00,1.842897534370422363e+00,-1.461287260055541992e+00,1.156930923461914062e-01,6.552761793136596680e-01,-9.207016229629516602e-01,-1.274553775787353516e+00,8.898613452911376953e-01,-2.960176169872283936e-01,-1.197032809257507324e+00,-1.084985733032226562e+00,2.411360889673233032e-01,1.195819973945617676e+00,1.420144319534301758e+00,1.381832599639892578e+00,4.942863583564758301e-01,-1.439835786819458008e+00,-6.383512020111083984e-01,-9.163595438003540039e-01,9.594848752021789551e-01,-6.494475603103637695e-01,9.969787001609802246e-01,-6.414960026741027832e-01,-3.251508250832557678e-02,-2.216257899999618530e-01,-1.573231667280197144e-01
-3.137145280838012695e+00,2.339624404907226562e+00,-2.530329823493957520e-01,-2.642150521278381348e-01,-2.337931632995605469e+00,3.284640312194824219e+00,-1.304358005523681641e+00,-6.610553741455078125e+00,-1.172447443008422852e+00,7.299434542655944824e-01,-4.240916073322296143e-01,-1.604895740747451782e-01,-1.167404770851135254e+00,8.123855590820312500e-01,-5.450335890054702759e-02,-1.024660587310791016e+00,3.721855878829956055e-01,2.606034755706787109e+00,2.519040107727050781e-01,-2.510622739791870117e+00,6.386900424957275391e+00,-2.820584535598754883e+00,4.119304716587066650e-01,2.617669291794300079e-02,6.576289534568786621e-01,-3.054105043411254883e-01,6.860479712486267090e-01,-1.515138447284698486e-01,1.014116048812866211e+00
-2.027336597442626953e+00,1.296591162681579590e+00,1.005679965019226074e+00,-8.077388405799865723e-01,-6.612026691436767578e-01,1.167174100875854492e+00,-1.685949206352233887e+00,-5.100305080413818359e+00,-1.148408800363540649e-01,-1.822907209396362305e+00,-1.911701083183288574e+00,-9.895619004964828491e-02,-7.522239089012145996e-01,4.321008324623107910e-01,5.063062533736228943e-02,8.625341653823852539e-01,-4.256486296653747559e-01,5.013967752456665039e-01,-3.949067294597625732e-01,1.196233630180358887e+00,-2.454975605010986328e+00,1.328418016433715820e+00,-2.851995229721069336e-01,-5.375503897666931152e-01,5.155988335609436035e-01,8.922435045242309570e-01,3.044067323207855225e-01,1.173825412988662720e-01,1.565265953540802002e-01
-2.208313226699829102e+00,1.858984708786010742e+00,7.673304080963134766e-01,-4.759854674339294434e-01,2.700985968112945557e-01,1.751840233802795410e+00,-3.857049703598022461e+00,-7.497906208038330078e+00,-2.630971968173980713e-01,-2.360304117202758789e+00,-2.163055896759033203e+00,1.227801516652107239e-01,-1.221144556999206543e+00,1.066512703895568848e+00,4.493654966354370117e-01,5.879313349723815918e-01,-1.197796165943145752e-01,8.562342524528503418e-01,6.974591314792633057e-02,1.828724265098571777e+00,-3.630382299423217773e+00,1.539430856704711914e+00,-8.534656167030334473e-01,3.670668974518775940e-02,2.895185053348541260e-01,-6.651827692985534668e-02,1.963165029883384705e-02,2.024237960577011108e-01,-3.132885098457336426e-01
-4.076148986816406250e+00,-8.910312056541442871e-01,-1.213363647460937500e+00,-1.148352771997451782e-02,-7.784405350685119629e-01,6.474734544754028320e-01,5.631047114729881287e-02,-6.679134368896484375e+00,6.087484359741210938e-01,-1.111803293228149414e+00,-1.116948604583740234e+00,7.784073352813720703e-01,3.203082829713821411e-02,1.898042410612106323e-01,-6.713249683380126953e-01,4.660211503505706787e-02,1.406760420650243759e-02,-4.438621401786804199e-01,1.854847520589828491e-01,-2.800899982452392578e+00,1.019456386566162109e+00,2.693829536437988281e-01,-3.832245990633964539e-02,2.564494609832763672e-01,5.428316071629524231e-02,2.665837407112121582e-01,1.818439483642578125e+00,-5.141394734382629395e-01,2.047421455383300781e+00
-1.942869544029235840e+00,-6.524924039840698242e-01,2.219414710998535156e-01,3.075999319553375244e-01,-8.934091925621032715e-01,1.694323897361755371e+00,2.005555629730224609e+00,6.730514764785766602e-01,-8.502338528633117676e-01,-1.473410606384277344e+00,3.147254884243011475e-01,3.296783864498138428e-01,-4.287446737289428711e-01,6.846384406089782715e-01,9.354139566421508789e-01,-1.572887897491455078e+00,1.484133481979370117e+00,-2.204263925552368164e+00,-1.480736374855041504e+00,8.875415921211242676e-01,5.362259149551391602e-01,6.615696549415588379e-01,1.186540126800537109e+00,-6.356025338172912598e-01,9.774583159014582634e-04,5.994060039520263672e-01,-1.927164644002914429e-01,3.864132240414619446e-02,1.796141743659973145e+00
-1.504994183778762817e-01,-2.388700962066650391e+00,-8.852065205574035645e-01,8.575274944305419922e-01,-1.006035327911376953e+00,-3.319352269172668457e-01,9.734230041503906250e-01,-2.021972388029098511e-01,1.837103813886642456e-01,-3.122072815895080566e-01,6.030041575431823730e-01,4.180719330906867981e-02,-1.671079039573669434e+00,8.665502667427062988e-01,-2.917238771915435791e-01,1.061456426978111267e-01,-2.315744906663894653e-01,3.019933402538299561e-01,4.185723364353179932e-01,1.291662931442260742e+00,3.831249475479125977e-01,-5.218608975410461426e-01,-7.846298813819885254e-01,7.880160212516784668e-02,3.265464901924133301e-01,6.119103431701660156e-01,-2.161934226751327515e-01,1.094222515821456909e-01,2.592320680618286133e+00
