V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,normAmount,Class
-10.6323749062,7.2519362286,-17.6810718208,8.2041444062,-10.1665907519,-4.5103437704,-12.981606156,6.783588798,-4.6593295836,-14.9246547735,8.3891423345,-16.4655039422,0.3385169598,-14.2244036032,0.5565844726,-11.6839980435,-15.8416159781,-5.7531997528,3.8130407928,-0.8101464816,2.7153570442,0.6956026898,-1.1381220666,0.4594422419,0.3863373235,0.5224384492,-1.4166037365,-0.4883070357,0.4004898163,1
0.3851084611,1.2176203228,-1.9538721654,2.087075991,-1.1442254064,-0.5768879948,-2.5828650439,0.6432299993,-1.1912326924,-3.095093607,2.821144888,-3.1005456579,0.1461993743,-4.5101239153,0.5744900227,-2.1234627845,-6.0533193883,-0.7063761527,0.5727910282,0.3805452123,0.5946231325,0.3721436658,-0.3104557914,-0.6240651488,0.8402161303,-0.1594517667,0.5994823647,0.2889155499,-0.3212447034,1
-1.1576778903,0.0799005573,1.7906815491,-1.9683028989,-0.5896076891,0.1379415415,-0.6411840955,0.5518617644,-1.0280291935,0.3319339866,1.0085124777,-0.2372955244,0.0758389374,-0.3215834298,0.0744627983,1.660639907,-0.2206447333,-0.5942408882,-0.2820451646,0.1565009887,0.4820992089,1.3592363731,-0.2717835585,-0.2695248263,0.0634262396,-0.189033924,-0.0622396697,-0.1399615139,-0.3152475741,0
0.2255366009,-0.2714186941,0.5003822696,-1.9361238539,-0.3836447014,-0.2941704718,-0.0099287037,0.0888520104,-0.7906043922,0.2533790943,0.0616907826,-0.9557104603,-1.2182353406,-0.0430496439,-0.9477618178,1.4230701677,-0.2537466775,-0.4439666965,0.8493690697,-0.0006378717,0.2984597768,0.7236120785,-0.0676663509,-0.5135402693,-0.3893351503,-0.2402281666,0.047368755,0.0268520678,-0.2013021176,0
1.269172051,0.4448917135,0.172030588,1.0226924353,0.0158596329,-0.7320367483,0.2970240803,-0.2819618484,-0.1832457233,-0.0217270982,-0.4999328039,0.7387262002,1.3179612596,0.1175688396,0.8079595119,0.0946376467,-0.6283640496,-0.1888446007,-0.2441286142,-0.0503296505,0.0187688201,0.1631910272,-0.159069362,0.0721206484,0.7778352011,-0.3104213943,0.0213570358,0.0195463807,-0.332959096,0
1.4466295536,-0.2236327607,-0.1751959471,-0.6626432987,-0.5576548227,-1.3864692819,0.0369181996,-0.4640332804,-1.2908228649,0.6591733951,-0.0717205539,-0.1304635957,1.0309144224,-0.0661571481,0.3222437353,0.6832970138,0.356452,-1.7137956562,0.6280519965,0.1257472534,0.2017982956,0.5592265077,-0.1765485046,0.4532472548,0.8230240367,-0.0880256559,-0.0230938148,0.0041011189,-0.2932581001,0
1.0308045148,0.1276113781,0.3110901997,0.56044989,0.2709991661,0.7795445177,-0.2320548669,0.3731489505,-0.0072004518,-0.478028686,1.1823074745,0.7124929946,0.0873746976,-0.1440428752,2.1615008921,-0.8810941866,1.3177753821,-2.3469737098,-1.8746611859,-0.2118640394,-0.1416876935,-0.2791008465,0.2899833325,-0.6761930821,-0.1453891733,0.2019619521,0.0471711736,0.0207808435,-0.3132885119,0
-1.1099015451,-0.4072016937,1.2849757012,-0.6236241946,-0.3136577156,-0.3538107075,1.180575459,-0.0142437637,0.1531780583,-1.1553915583,-1.2860619986,-0.2242722533,-0.2572936506,-0.1221518739,-0.1562844141,0.7004917977,-0.87930801,-0.0644079509,-0.8080105861,0.4439158855,0.0326823756,-0.4657973296,0.6248127743,-0.1764971148,-0.3999510724,-0.1321969579,0.0040324653,0.17582583,0.6782768451,0
-1.1975978111,-0.4036039096,1.5768800991,-0.4612021123,0.8855884873,-0.2880199581,0.2742194402,-0.0683060444,0.4307672258,-0.3892983374,-1.1348461266,-0.7498428193,-0.6637427786,-0.2797865699,0.7900586291,0.4368573857,-0.8166044486,0.3751178827,-0.3903037811,-0.1974138621,0.1278455786,0.7527145939,0.503893141,0.604611869,0.0303726,0.3512625192,-0.0854138342,-0.1874688585,-0.3528295843,0
1.9439922321,0.726808053,-0.7517985368,3.7253071229,0.5132192388,-0.496670264,0.4212714067,-0.3007861825,-1.3012106303,1.5152210791,-0.9048342539,0.2195689743,1.1519808611,0.1956409588,-0.4401320219,0.8511230339,-0.9808309156,-0.3633365546,-1.7543106523,-0.2143522604,0.2435975087,0.7624239207,0.0471089449,0.0660392904,0.1612842689,0.1256579266,-0.039400091,-0.0489680127,-0.322803957,0
-1.3709757726,-0.0254646127,-2.7749069159,2.6505301847,4.5113092909,-3.2893436816,-0.1188414418,-0.0142794453,-0.9327728436,-2.6374417446,2.8587765016,-0.5531799392,-0.758491998,-6.4550291031,-0.1540208823,1.3238329755,5.5802092523,3.2936875938,-0.1376935821,0.7012918266,-0.0480610881,-0.5993500303,0.072192995,-0.60035142,0.3713306236,-0.3709509854,0.0119702494,0.1458953388,-0.3492313068,1
1.8896179144,1.0730985343,-1.6780175221,4.1732681944,1.0155158061,-0.0093890345,-0.0797056037,0.0640708218,-0.7145166758,0.0422275202,-0.4084027811,-0.9293700658,0.0586863167,-3.5128454612,-0.1646129741,2.0698530247,1.7333815809,1.5807579621,-2.3351853761,-0.1535702647,0.2037279785,0.7337957206,-0.036559749,0.3343057707,0.1471710356,0.2795564882,0.0316687807,0.0358833226,-0.3403555554,1
1.1253355353,1.1301464842,-0.9629753348,2.6756878586,0.9900745185,-0.2433177412,0.3161921381,0.122960132,-1.1433427948,-0.369908966,1.834494198,-0.4912433154,-1.1299070046,-2.2386222444,0.2784687417,1.4779256031,1.7764542951,1.1492821858,-1.3069946447,-0.1388136975,-0.1667369184,-0.5219338389,-0.1123762574,-0.5920767505,0.5207913143,0.0433535806,0.0151590213,0.0636117223,-0.3381965889,1
2.1643587123,-0.3978929768,-1.6713164057,-0.4081849405,-0.2712249993,-1.4754946372,-0.2411879145,-0.4601744888,0.8357379981,-0.0800464548,0.573033122,-3.4341005152,1.1063890442,0.2905374426,-0.8216011519,0.9574651735,2.1649152926,-1.0809844777,0.3639491289,-0.0604389854,-0.1790662079,-0.2795384227,0.1796719823,-0.1829473081,-0.0757334978,-0.3143690189,-0.0561498407,-0.0406098809,-0.2213725103,0
-0.0895550224,-0.386387743,1.854525981,-0.4741390819,-1.1993243151,1.1812335999,-1.2821072474,0.5625181192,0.6545407469,0.5306653423,-2.0943009737,-1.4521132777,-1.4662137518,-1.1667429219,-0.6799702379,0.0810855426,1.2632947828,-1.0521409596,1.9754359029,0.1743190845,0.2359157921,1.1261928106,-0.0786151924,-0.7374340221,-0.9635410817,-0.0011574629,0.4334900917,0.2744971685,-0.3472322637,0
-2.1308544456,-2.337245621,1.5132299473,-1.603184005,-0.1893408825,-0.154974702,0.9330184453,0.0202601887,1.2177192046,-1.7093991864,0.324457094,0.4535621718,-0.6189616324,-0.1680581074,0.0932456621,0.1452121195,-1.0258912569,1.4080363894,0.2748958431,1.2117818966,0.5271737424,0.6633293963,0.7750829235,-0.3933377626,0.5814530775,-0.7082736911,-0.2208657421,-0.0741680582,1.4179227909,0
-0.6279152519,-0.4401541216,0.2508107498,-1.9425523918,2.2869624653,3.5056068692,-0.5810884917,1.00109327,-1.0539492007,0.0124773013,-1.0662676749,-0.3132589485,-0.0366200597,-0.3141813491,-0.9763606999,-1.3748913285,-0.4014830678,1.347706896,-0.7228841253,-0.3294063596,-0.392236676,-0.7618698272,-0.0998774858,1.0000858883,0.0729484846,0.2499269773,0.088693495,0.1219087579,-0.3072514017,0
-2.5930434614,-1.4167042104,1.7891862813,1.1880120883,0.5461351178,0.4578476214,-1.4810561227,1.2216624766,0.2260516405,-0.3632242155,-0.3677397048,-0.4585008157,-1.5387512809,0.5034993608,0.871712357,0.8678703962,-0.6100933217,1.9760636677,0.7114747865,0.8011514793,0.4742181154,0.4664539919,-0.1782568107,0.1437249298,0.4404963096,-0.3004672218,0.255907799,-0.2171958666,0.0465792264,0
-0.9353645502,1.265684625,1.6131843259,0.5922790384,0.0661183517,0.0323209046,0.268417955,0.4498036977,0.9913553424,-1.4489760041,-0.0075819369,-1.7996714367,1.9810557936,1.3950067131,-1.6953611111,-0.4900761576,0.9045065733,-0.4980097993,-1.1282083901,-0.3406001111,-0.0398910098,0.2500097748,-0.203629209,0.0488352063,0.1759422931,-0.4526158064,-0.008220281,0.0525693038,-0.327161871,0
-0.3071352021,-0.0709221315,1.7382535116,-0.0284990831,-0.5832931245,-0.2195246387,-0.1893927886,0.1025654002,-1.0042991317,0.3319844115,-0.7094646078,-0.1930575709,-0.2955934833,-0.2435222221,-0.1649168691,-2.6089440108,1.0247454623,0.5273889313,-0.2142909805,-0.4056899206,-0.2646160435,-0.0847716393,0.0518552632,0.4276636825,-0.6147012819,0.549743464,0.1685206532,0.160333709,-0.313248531,0
-0.3392592859,0.6669288364,0.4215924349,-0.6917604277,1.7527912045,-0.3689308861,1.1567884162,-0.4230556334,-0.4205995432,-0.5228137138,-1.2383169132,0.139575099,1.3478604146,-0.0688403554,0.6643651558,-0.3523190506,-0.8333550341,0.2702113632,0.505481005,0.2096777754,0.2395296733,0.8900747851,-0.529100811,0.1106045009,0.5127198594,-0.039570269,-0.0667910458,-0.094716054,-0.3496710963,0
