V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,normAmount,Class
-13.0865194205,7.3521483391,-18.2565761118,10.6485054462,-11.7314764509,-3.6591674057,-14.8736579646,8.8104726751,-5.4182040716,-13.2025771482,6.3572273634,-15.5316111795,0.6596948754,-11.4123295951,-2.4475760743,-9.833743021,-18.1746174349,-7.2699045931,0.6237966118,-1.3762984086,2.7611570593,-0.2661618096,-0.4128607249,0.5199522157,-0.74390896,-0.1678082251,-2.4983002522,-0.7110661519,-0.3056096039,1
0.7755702266,-0.7706477556,0.9363210549,1.3129506464,-1.0603690755,0.3439817821,-0.509565754,0.2813716441,0.8237998752,-0.0813137622,0.3994468747,0.3999271679,-1.2193808007,0.1095873197,-0.3372541267,0.4542310629,-0.5418427825,0.7329535172,0.1527489885,0.1826246986,0.0649233048,-0.1216141433,-0.206048733,-0.0295535825,0.3185179789,-0.4209157352,0.0251953626,0.0541022228,0.3078041244,0
-0.0982569721,0.2774376778,0.6826053931,0.5417341086,0.7440075672,0.2392696515,0.8522914913,-0.1301822462,0.684496121,-0.4258601619,-1.8163002515,-0.0932603244,-0.6093941865,-0.5372614105,-1.7878058831,-0.8529488182,-0.1945284581,0.0004543962,-0.3277344429,-0.0626249373,0.3824712495,1.5517219692,-0.1641582577,0.7166210683,-0.4329612914,-0.4796325797,0.1104244071,0.0346048276,-0.2357203863,0
-1.0937546035,0.5571286682,1.6032019151,0.0085245554,1.060342083,0.0713940561,0.4769713405,0.2169069274,-0.400490743,-0.607182801,0.6801007851,0.938203099,-0.1475880997,-0.0150746122,-1.5141239634,-0.1368058146,-0.4677607122,-0.3800480463,-0.7998684669,-0.2940612418,-0.0469970561,-0.0505792438,-0.460900348,-0.2903508761,0.7829541843,-0.4493906835,-0.1040058147,-0.0678751284,-0.4154462242,0
-1.3691195161,1.0998301196,1.3939342899,-0.6389748281,-0.5885176421,0.2602726313,0.2166391336,0.5450806065,-0.0495833644,-0.7265121425,0.3170372359,0.0394960397,-1.1284641709,0.5979049314,0.5022650353,0.499039026,-0.5791149214,0.8027057417,0.6843969978,-0.2836013122,-0.0439522052,-0.4114598138,-0.1997648779,-0.4632152795,0.2403249544,-0.432551243,-0.4275969045,-0.0196616053,-0.1769609797,0
-1.9274528197,1.827620567,-7.0194946845,5.3483032395,-2.73918788,-2.1072192964,-5.0158479756,1.2058681598,-4.3827125085,-8.3377069738,7.1903060894,-9.4248444605,-0.2232926464,-12.875494223,-0.0719181607,-6.2999613976,-12.7192071604,-3.7401761558,0.8440596103,2.1727090563,1.3769383229,-0.7920167256,-0.7714141875,-0.3795742715,0.718716522,1.111151256,1.2777072571,0.819081152,1.5004177173,1
-1.7832288372,3.4027937131,-3.8227422655,2.6253681528,-1.9764154114,-2.7316890123,-3.4305591495,1.413203514,-0.7769414946,-6.1998817627,4.3667134863,-8.2432624337,0.3457611652,-6.5905502971,0.2655760959,-3.0284523885,-4.2144862749,-1.2136078477,-0.2654215954,0.364089115,0.4540319317,-0.5775258242,0.0459665375,0.4617000176,0.0441461612,0.3057044339,0.5309809863,0.2437455981,-0.4154462242,1
1.8475032685,0.2967077724,-2.2571132479,1.631420094,0.7629095945,-1.139432246,0.8006923513,-0.3897915822,0.0600481698,-0.4056378526,-0.1837053166,0.2429986011,-0.1381021393,-0.9944770875,-0.3628467707,-0.3332637728,1.1269331243,-0.0945270874,-0.5965329281,-0.0599037049,0.0366190319,0.1368742274,-0.0195586062,0.9730495555,0.4089538365,-0.554305822,-0.0147207693,-0.0038845349,-0.0861237338,0
1.3016530848,-0.2329037175,-0.5707872181,-1.3574667609,0.226494244,-0.1878919413,0.0713743752,-0.085198173,1.2460264431,-1.075269719,-1.1360439172,0.2914315748,0.1736474806,0.3931070597,1.996535911,-0.5086717461,-0.4002388332,-0.163014739,0.844376602,-0.0438468573,-0.2027646947,-0.503928384,-0.1750232509,-1.3295651521,0.7020638044,-0.7622459925,0.0568160866,0.0122905442,-0.2852236873,0
-2.5205538031,-0.191950082,-1.0076587765,0.6394229277,-2.3545067748,0.0071128565,0.378660937,0.8204998182,0.1811338524,-1.0002551386,-1.3288255654,0.2296142172,0.0964618015,0.9145289363,1.2927141688,0.3844112742,0.1113002929,0.6207506626,0.4877918461,-0.8050991606,0.3683954834,1.0744412189,-0.4884615078,0.0994405652,-1.2161676252,-0.2634392583,-0.0392534745,-0.3080986961,0.9538952777,0
